"Method","Power","FDR","Power_sd","FDR_sd","eta","q"
"t",0.3952,0.0208,0.109548937452491,0.0298033961863816,-0.7,0
"logit_t",0.8368,0.0276,0.0707089638996187,0.0320075748610364,-0.7,0
"log_t",0.8368,0.0268,0.0707089638996187,0.0321888367624742,-0.7,0
"tangent_t",0.0024,0.0032,0.00954733026303768,0.0109063969737716,-0.7,0
"arcsine_t",0.5948,0.0264,0.11323061298594,0.0317668272437037,-0.7,0
"wilcoxon",0.7948,0.0264,0.0791173530621162,0.0312539290459309,-0.7,0
"dual_group_logit_t",0.8372,0.03,0.0706117568257595,0.0323491058062607,-0.7,0
"dual_group_boxcox_t",0.74,0.0296,0.0898033766884434,0.032471277128931,-0.7,0
"boxcox_t",0.8252,0.0276,0.075350762263811,0.0320075748610364,-0.7,0
"t",0.318,0.0144,0.0938298481510037,0.0244668400621384,-0.7,0.1
"logit_t",0.4632,0.018,0.105168263446553,0.0256629277087759,-0.7,0.1
"log_t",0.4632,0.018,0.105168263446553,0.0256629277087759,-0.7,0.1
"tangent_t",0.0256,0.0124,0.0357409308974198,0.020256935462785,-0.7,0.1
"arcsine_t",0.4752,0.018,0.0983549539662185,0.0262851496269108,-0.7,0.1
"wilcoxon",0.55,0.02,0.101762250149825,0.0269679944985297,-0.7,0.1
"dual_group_logit_t",0.5408,0.0212,0.0998552487707617,0.0275343678725591,-0.7,0.1
"dual_group_boxcox_t",0.5192,0.0212,0.106815048309939,0.0281152031197473,-0.7,0.1
"boxcox_t",0.5532,0.0184,0.10375651373005,0.0275138165475112,-0.7,0.1
"t",0.2576,0.014,0.089950828318318,0.0215556596894288,-0.7,0.2
"logit_t",0.302,0.0296,0.0851617593320221,0.0334519103046493,-0.7,0.2
"log_t",0.302,0.0296,0.0851617593320221,0.0334519103046493,-0.7,0.2
"tangent_t",0.0268,0.0248,0.0321888367624742,0.0310255678205228,-0.7,0.2
"arcsine_t",0.3572,0.0208,0.0915421192455123,0.028129570335729,-0.7,0.2
"wilcoxon",0.3596,0.0256,0.094022563378385,0.0298250792712333,-0.7,0.2
"dual_group_logit_t",0.3988,0.0256,0.0936712497530755,0.0303621241987214,-0.7,0.2
"dual_group_boxcox_t",0.3524,0.0276,0.0891159725619183,0.0304551334181145,-0.7,0.2
"boxcox_t",0.3676,0.0272,0.0933670934613161,0.03055314958388,-0.7,0.2
"t",0.188,0.0164,0.0763828739597001,0.0241844761962894,-0.7,0.3
"logit_t",0.19,0.0248,0.0724464274376925,0.0340077234246171,-0.7,0.3
"log_t",0.19,0.0248,0.0724464274376925,0.0340077234246171,-0.7,0.3
"tangent_t",0.0268,0.0224,0.0355300413507195,0.0313055970082093,-0.7,0.3
"arcsine_t",0.2556,0.0216,0.0779318531627071,0.0263128036583644,-0.7,0.3
"wilcoxon",0.2248,0.0252,0.0732020864084177,0.0348874090916955,-0.7,0.3
"dual_group_logit_t",0.2772,0.0248,0.0824385905515203,0.0349452674502817,-0.7,0.3
"dual_group_boxcox_t",0.222,0.0244,0.0699494767166223,0.0335845082131508,-0.7,0.3
"boxcox_t",0.2312,0.0244,0.0731579169200491,0.0335845082131508,-0.7,0.3
"t",0.1364,0.0156,0.0710316475206295,0.0266029541915399,-0.7,0.4
"logit_t",0.1312,0.0284,0.0684795921823031,0.035639043395431,-0.7,0.4
"log_t",0.1312,0.0284,0.0684795921823031,0.035639043395431,-0.7,0.4
"tangent_t",0.0296,0.0256,0.0348711915483254,0.0329161775951392,-0.7,0.4
"arcsine_t",0.1896,0.022,0.0757710533465949,0.034289321599553,-0.7,0.4
"wilcoxon",0.1364,0.0264,0.0672928170930838,0.0351481712098075,-0.7,0.4
"dual_group_logit_t",0.1984,0.026,0.0764716888261217,0.0352193702442852,-0.7,0.4
"dual_group_boxcox_t",0.1352,0.0284,0.0725367200635358,0.035639043395431,-0.7,0.4
"boxcox_t",0.156,0.0288,0.0664238000427649,0.0355414113280821,-0.7,0.4
"t",0.0984,0.014,0.0549512180359668,0.0215556596894288,-0.7,0.5
"logit_t",0.1,0.0284,0.0589469886826077,0.0337764486713521,-0.7,0.5
"log_t",0.1,0.0284,0.0589469886826077,0.0337764486713521,-0.7,0.5
"tangent_t",0.0248,0.026,0.0310255678205228,0.0323491058062606,-0.7,0.5
"arcsine_t",0.136,0.0212,0.0635641726163728,0.0303275052676209,-0.7,0.5
"wilcoxon",0.0936,0.0248,0.0551860032027592,0.0320504652576577,-0.7,0.5
"dual_group_logit_t",0.1444,0.024,0.0657869226512321,0.0321612100882948,-0.7,0.5
"dual_group_boxcox_t",0.0968,0.0284,0.0594058120477323,0.0337764486713521,-0.7,0.5
"boxcox_t",0.1124,0.0272,0.0581728528446114,0.0335772891019264,-0.7,0.5
"t",0.0708,0.0128,0.0491889779885246,0.0226559689550663,-0.7,0.6
"logit_t",0.0696,0.0268,0.0541214496584424,0.0350722198621731,-0.7,0.6
"log_t",0.0696,0.0268,0.0541214496584424,0.0350722198621731,-0.7,0.6
"tangent_t",0.0268,0.0268,0.0346083425453658,0.0350722198621731,-0.7,0.6
"arcsine_t",0.1028,0.0204,0.0588797782165344,0.0292643817704055,-0.7,0.6
"wilcoxon",0.0604,0.026,0.0506905844663026,0.0342893215995531,-0.7,0.6
"dual_group_logit_t",0.1108,0.0232,0.0637811916166546,0.0312332379287699,-0.7,0.6
"dual_group_boxcox_t",0.0636,0.0268,0.0521365727893791,0.0350722198621731,-0.7,0.6
"boxcox_t",0.0804,0.0268,0.0594914474797203,0.0350722198621731,-0.7,0.6
"t",0.044,0.0136,0.0383497988352882,0.0235925000923187,-0.7,0.7
"logit_t",0.0516,0.0276,0.0411137864267381,0.0325085847247782,-0.7,0.7
"log_t",0.0516,0.0276,0.0411137864267381,0.0325085847247782,-0.7,0.7
"tangent_t",0.0268,0.0264,0.0311684896566187,0.0307324722156361,-0.7,0.7
"arcsine_t",0.0608,0.02,0.0480672928971941,0.0263618947526443,-0.7,0.7
"wilcoxon",0.04,0.0276,0.0381385035698237,0.0325085847247782,-0.7,0.7
"dual_group_logit_t",0.0656,0.0232,0.0480807401748098,0.0307114297809776,-0.7,0.7
"dual_group_boxcox_t",0.0436,0.0272,0.0394282368181213,0.032100851179753,-0.7,0.7
"boxcox_t",0.0576,0.0272,0.0422861822835925,0.032600427585967,-0.7,0.7
"t",0.2728,0.0212,0.0879632613852815,0.0275343678725591,-0.5,0
"logit_t",0.562,0.0296,0.103494497975067,0.0339316008368826,-0.5,0
"log_t",0.562,0.0292,0.103494497975067,0.0335652537995211,-0.5,0
"tangent_t",0.0044,0.0012,0.0125786415094088,0.00685786431991062,-0.5,0
"arcsine_t",0.402,0.0256,0.106420169729486,0.0303621241987214,-0.5,0
"wilcoxon",0.5244,0.026,0.0987837143572878,0.0313339780720256,-0.5,0
"dual_group_logit_t",0.5656,0.0312,0.104681527607416,0.0339125434914665,-0.5,0
"dual_group_boxcox_t",0.5512,0.0296,0.10099784976209,0.0329652403405021,-0.5,0
"boxcox_t",0.562,0.03,0.102237592169051,0.0338147060231838,-0.5,0
"t",0.176,0.0172,0.0789834402794905,0.0268207668673648,-0.5,0.1
"logit_t",0.1848,0.02,0.0815565739071643,0.0329063562678745,-0.5,0.1
"log_t",0.1848,0.02,0.0815565739071643,0.0329063562678745,-0.5,0.1
"tangent_t",0.0172,0.0152,0.0242911631269605,0.0271352765293305,-0.5,0.1
"arcsine_t",0.2496,0.0204,0.0902736580256574,0.0303488138985777,-0.5,0.1
"wilcoxon",0.276,0.0236,0.0970681318570736,0.0322089140055069,-0.5,0.1
"dual_group_logit_t",0.2816,0.0236,0.0981312252738005,0.0331972981741075,-0.5,0.1
"dual_group_boxcox_t",0.2728,0.0248,0.0968814750198417,0.0335291219718325,-0.5,0.1
"boxcox_t",0.2588,0.0228,0.095719286552825,0.0332751006494695,-0.5,0.1
"t",0.1444,0.0156,0.0700695181497445,0.0211927183988113,-0.5,0.2
"logit_t",0.1096,0.0228,0.0637216167751921,0.0285713708513125,-0.5,0.2
"log_t",0.1096,0.0228,0.0637216167751921,0.0285713708513125,-0.5,0.2
"tangent_t",0.0284,0.0196,0.034251594374156,0.0263588292378072,-0.5,0.2
"arcsine_t",0.188,0.0196,0.0832666399786453,0.0244503206894753,-0.5,0.2
"wilcoxon",0.1756,0.022,0.0795736111783272,0.0268929790694955,-0.5,0.2
"dual_group_logit_t",0.1992,0.0236,0.0823846607277855,0.0279074951012856,-0.5,0.2
"dual_group_boxcox_t",0.1652,0.0256,0.0774659260382892,0.0298250792712333,-0.5,0.2
"boxcox_t",0.1612,0.0244,0.0748774082258879,0.0300275967346134,-0.5,0.2
"t",0.1016,0.0136,0.0572557614762237,0.0249249378184284,-0.5,0.3
"logit_t",0.0896,0.0292,0.0599312737705247,0.0349799365293301,-0.5,0.3
"log_t",0.0896,0.0292,0.0599312737705247,0.0349799365293301,-0.5,0.3
"tangent_t",0.0268,0.0248,0.0341381625371686,0.0320504652576577,-0.5,0.3
"arcsine_t",0.1368,0.02,0.0668313118412637,0.0281410588272579,-0.5,0.3
"wilcoxon",0.1204,0.0264,0.0654420863563095,0.0317668272437036,-0.5,0.3
"dual_group_logit_t",0.1468,0.026,0.0719270112648576,0.0328449064359739,-0.5,0.3
"dual_group_boxcox_t",0.1088,0.0288,0.0640908446163441,0.0350837382111526,-0.5,0.3
"boxcox_t",0.1144,0.0292,0.0638229875309338,0.0354389502090453,-0.5,0.3
"t",0.078,0.0148,0.0589127072091164,0.0258386602523498,-0.5,0.4
"logit_t",0.0644,0.0276,0.0536038593514845,0.0362683600317679,-0.5,0.4
"log_t",0.0644,0.0276,0.0536038593514845,0.0362683600317679,-0.5,0.4
"tangent_t",0.0252,0.0248,0.0314780667587558,0.0344796822034149,-0.5,0.4
"arcsine_t",0.0996,0.0224,0.0639431565746271,0.0307850153762699,-0.5,0.4
"wilcoxon",0.076,0.0276,0.0594928057784632,0.0349059342007092,-0.5,0.4
"dual_group_logit_t",0.1036,0.0248,0.0675325585524972,0.0330435892099933,-0.5,0.4
"dual_group_boxcox_t",0.066,0.0272,0.0531436019125767,0.0359033494962588,-0.5,0.4
"boxcox_t",0.076,0.0276,0.0592205260620902,0.0358199763689301,-0.5,0.4
"t",0.0496,0.0148,0.0455254396636173,0.0252054186895027,-0.5,0.5
"logit_t",0.0484,0.0384,0.0418925995730737,0.0393564390275504,-0.5,0.5
"log_t",0.0484,0.0384,0.0418925995730737,0.0393564390275504,-0.5,0.5
"tangent_t",0.0232,0.0376,0.0267755353434678,0.0389021045365638,-0.5,0.5
"arcsine_t",0.0668,0.0212,0.0545482827549608,0.0297898362438323,-0.5,0.5
"wilcoxon",0.0504,0.0336,0.0438988736884115,0.0358312543442005,-0.5,0.5
"dual_group_logit_t",0.0684,0.0304,0.05402431177374,0.0377637525955911,-0.5,0.5
"dual_group_boxcox_t",0.0476,0.0384,0.0416604843898383,0.0393564390275504,-0.5,0.5
"boxcox_t",0.0524,0.0372,0.0442928728562349,0.0382464100117629,-0.5,0.5
"t",0.0508,0.0172,0.0450741252569228,0.0255872442968576,-0.5,0.6
"logit_t",0.0468,0.0324,0.0485939681171824,0.0362683600317679,-0.5,0.6
"log_t",0.0468,0.0324,0.0485939681171824,0.0362683600317679,-0.5,0.6
"tangent_t",0.0296,0.0312,0.0357861211176409,0.035768051880883,-0.5,0.6
"arcsine_t",0.0676,0.0252,0.0517007707579848,0.0304338992280356,-0.5,0.6
"wilcoxon",0.0456,0.0308,0.0468895112218742,0.0358920941746567,-0.5,0.6
"dual_group_logit_t",0.0692,0.0284,0.0559523606889528,0.0328055181364663,-0.5,0.6
"dual_group_boxcox_t",0.0424,0.032,0.0450615740353736,0.0364040179822575,-0.5,0.6
"boxcox_t",0.05,0.0328,0.0506523105658228,0.0370116006930068,-0.5,0.6
"t",0.0308,0.0176,0.033565253799521,0.0274550137092987,-0.5,0.7
"logit_t",0.0352,0.0316,0.0360829571678902,0.0369744656636321,-0.5,0.7
"log_t",0.0352,0.0316,0.0360829571678902,0.0369744656636321,-0.5,0.7
"tangent_t",0.0256,0.0304,0.0308898335732295,0.0355595957300536,-0.5,0.7
"arcsine_t",0.0408,0.0256,0.0385515527861359,0.0334035623818475,-0.5,0.7
"wilcoxon",0.0352,0.0308,0.0386771145759245,0.0363395880076489,-0.5,0.7
"dual_group_logit_t",0.044,0.0312,0.0419716113774079,0.0366606055596467,-0.5,0.7
"dual_group_boxcox_t",0.0296,0.0308,0.0334519103046493,0.0358920941746567,-0.5,0.7
"boxcox_t",0.0376,0.0312,0.039315352849707,0.0370988306058727,-0.5,0.7
